Date,Close/Last,Volume,Open,High,Low
4/26/2022,101.7,335929,98.64,102.78,97.06
4/27/2022,102.02,263567,101.76,102.99,99.8
4/28/2022,105.36,295001,102.11,105.68,100.13
4/29/2022,104.69,276730,105.17,107.99,103.78
5/2/2022,105.17,246170,104,105.94,100.28
5/3/2022,102.41,224561,105.08,105.8,102.1
5/4/2022,107.81,258895,103.5,108.61,102.95
5/5/2022,108.26,274172,107.58,111.37,106.45
5/6/2022,109.77,262720,108.7,111.18,107.24
5/9/2022,103.09,333300,110.43,110.49,102.13
5/10/2022,99.76,352536,102.65,104.16,98.86
5/11/2022,105.71,343694,99,106.44,98.2
5/12/2022,106.13,290935,105.63,107.37,102.66
5/13/2022,110.49,215051,106.65,110.64,106.29
5/16/2022,114.2,258919,110.98,114.9,108.11
5/17/2022,112.4,227443,113.87,115.56,111.75
5/18/2022,109.59,87719,113.66,115.42,108.46
5/19/2022,112.21,36889,109.09,112.62,105.13
5/20/2022,113.23,12699,111.45,114.04,110.85
5/23/2022,110.29,204150,110.56,111.96,109.15
5/24/2022,109.77,214622,110.41,110.41,109.67
5/25/2022,110.33,179473,110.39,111.68,109.23
5/26/2022,114.09,219909,110.69,114.83,110.27
5/27/2022,115.07,203136,114.2,115.3,112.85
5/31/2022,114.67,423538,114.96,119.98,114.15
6/1/2022,115.26,272725,115.4,117.87,114.58
6/2/2022,116.87,312379,114.8,117.77,111.2
6/3/2022,118.87,225138,117.55,120.46,115.23
6/6/2022,118.5,230393,120.82,120.99,117.63
6/7/2022,119.41,313707,119.1,120.36,117.14
6/8/2022,122.11,306204,119.79,123.18,119.3
6/9/2022,121.51,254996,122.43,122.72,120.79
6/10/2022,120.67,312480,121.46,122.75,118.33
6/13/2022,120.93,333150,120.19,122.25,117.47
6/14/2022,118.93,332250,121.09,119.1,116.62
6/15/2022,115.31,276231,119.07,119.61,114.6
6/16/2022,117.59,145940,115.98,118.08,116.16
6/17/2022,109.56,70358,117.08,118.97,108.25
6/21/2022,110.65,18403,110.58,112.47,108.72
6/22/2022,106.19,416613,109.54,109.76,101.53
6/23/2022,104.27,331213,104.42,107.05,102.32
6/24/2022,107.62,305960,103.99,108.58,103.64
6/27/2022,109.57,268977,107.22,110.54,105.6
6/28/2022,111.76,294630,110.18,112.22,109.62
6/29/2022,109.78,301016,111.86,114.05,109.22
6/30/2022,105.76,342597,109.7,110.45,105.1
7/1/2022,108.43,285493,106.01,109.34,104.56
7/5/2022,99.5,576315,108.8,99.99,99.06
7/6/2022,98.53,429044,100.36,98.88,95.7
7/7/2022,102.73,362930,98.22,104.48,96.57
7/8/2022,104.79,299690,102.22,105.24,101.51
7/11/2022,104.09,298389,104.79,104.57,100.89
7/12/2022,95.84,363513,103.46,103.49,95.35
7/13/2022,96.3,315723,95.89,97.96,93.67
7/14/2022,95.78,349308,96.57,97,90.56
7/15/2022,97.59,215441,96.39,99.03,94.57
7/18/2022,102.6,66376,97.27,102.8,95.85
7/19/2022,104.22,34094,102,104.46,101.18
7/20/2022,102.26,18256,103.6,104.39,101.51
7/21/2022,96.35,305925,99.91,99.99,94.59
7/22/2022,94.7,292996,96.51,97.66,94.5
7/25/2022,96.7,260943,95.1,96.94,94.96
7/26/2022,94.98,291338,96.33,99,94.76
7/27/2022,97.26,309844,95.6,98.59,94.3
7/28/2022,96.42,298715,98.17,99.84,96.04
7/29/2022,98.62,331035,97.3,99,97.98
